,IncidentNumber,DateOfCall,CalYear_x,TimeOfCall,HourOfCall_x,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_district,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (£),NumCalls,CalYear_y,HourOfCall_y,ResourceMobilisationId,Resource_Code,PerformanceReporting,DateAndTimeMobilised,DateAndTimeMobile,DateAndTimeArrived,TurnoutTimeSeconds,TravelTimeSeconds,AttendanceTimeSeconds,DateAndTimeLeft,DeployedFromStation_Code,DeployedFromStation_Name,DeployedFromLocation,PumpOrder,PlusCode_Code,PlusCode_Description,DelayCodeId,DelayCode_Description,Latitude_station,Longitude_station,Distance
0,000001-01012016,2016-01-01,2016,00:03:17,0,False Alarm,False alarm - Good intent,No,Dwelling,House - single occupancy ,Correct incident location,SE2,E09000011,GREENWICH,Greenwich,E05014088,Plumstead Common,Plumstead Common,51.4869868,0.0221619,London,Plumstead,165.0,Plumstead,0.0,No,1.0,1.0,1,60,298,2.0,2016,0,4620744,E252,1,2016-01-01 00:03:17,01/01/2016 00:04:01,01/01/2016 00:06:02,44.0,121.0,165,01/01/2016 00:27:52,E25,Plumstead,Home Station,1,Initial,Initial Mobilisation,0.0,0,51.4874258,0.0914659,4.814100469352847
1,000003-01012016,2016-01-01,2016,00:04:41,0,Fire,Primary Fire,No,Dwelling,House - single occupancy ,On land associated with building,SE2,E09000011,GREENWICH,Greenwich,E05014088,Plumstead Common,Plumstead Common,51.4869868,0.0221619,London,Plumstead,159.0,Plumstead,334.0,Erith,2.0,2.0,2,60,298,1.0,2016,0,4620745,E251,1,2016-01-01 00:04:41,01/01/2016 00:05:42,01/01/2016 00:07:20,61.0,98.0,159,01/01/2016 00:26:14,E25,Plumstead,Home Station,1,Initial,Initial Mobilisation,0.0,0,51.4874258,0.0914659,4.814100469352847
2,000003-01012016,2016-01-01,2016,00:04:41,0,Fire,Primary Fire,No,Dwelling,House - single occupancy ,On land associated with building,SE2,E09000011,GREENWICH,Greenwich,E05014088,Plumstead Common,Plumstead Common,51.4869868,0.0221619,London,Plumstead,159.0,Plumstead,334.0,Erith,2.0,2.0,2,60,298,1.0,2016,0,4620746,E271,2,2016-01-01 00:04:41,01/01/2016 00:05:31,01/01/2016 00:10:15,50.0,284.0,334,01/01/2016 00:20:03,E27,Erith,Home Station,2,Initial,Initial Mobilisation,0.0,0,51.4874258,0.0914659,4.814100469352847
3,000005-01012016,2016-01-01,2016,00:07:17,0,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,In street outside gazetteer location,N4,E09000014,HARINGEY,Haringey,E05013590,Harringay,Harringay,51.57725929,-0.10394566,London,Hornsey,272.0,Hornsey,368.0,Holloway,2.0,2.0,2,96,477,2.0,2016,0,4620748,A322,1,2016-01-01 00:07:18,01/01/2016 00:07:52,01/01/2016 00:11:50,34.0,238.0,272,01/01/2016 00:55:25,A32,Hornsey,Home Station,1,Initial,Initial Mobilisation,0.0,0,51.586507,-0.1273033,1.918325866222525
4,000005-01012016,2016-01-01,2016,00:07:17,0,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,In street outside gazetteer location,N4,E09000014,HARINGEY,Haringey,E05013590,Harringay,Harringay,51.57725929,-0.10394566,London,Hornsey,272.0,Hornsey,368.0,Holloway,2.0,2.0,2,96,477,2.0,2016,0,4620747,A311,2,2016-01-01 00:07:18,01/01/2016 00:08:32,01/01/2016 00:13:26,74.0,294.0,368,01/01/2016 00:55:35,A31,Holloway,Home Station,2,Initial,Initial Mobilisation,0.0,0,51.586507,-0.1273033,1.918325866222525
5,000006-01012016,2016-01-01,2016,00:07:44,0,False Alarm,AFA,No,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,SE8,E09000023,LEWISHAM,Lewisham,E05013721,Evelyn,Evelyn,51.4570895,-0.0132894,London,Deptford,279.0,Deptford,332.0,Greenwich,4.0,4.0,4,60,298,1.0,2016,0,4620750,E341,1,2016-01-01 00:07:44,01/01/2016 00:10:34,01/01/2016 00:12:23,170.0,109.0,279,01/01/2016 00:20:59,E36,Deptford,Other Station,1,Initial,Initial Mobilisation,0.0,0,51.4848917,-0.0339022,3.4087052537659024
6,000006-01012016,2016-01-01,2016,00:07:44,0,False Alarm,AFA,No,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,SE8,E09000023,LEWISHAM,Lewisham,E05013721,Evelyn,Evelyn,51.4570895,-0.0132894,London,Deptford,279.0,Deptford,332.0,Greenwich,4.0,4.0,4,60,298,1.0,2016,0,4620751,E221,2,2016-01-01 00:07:44,01/01/2016 00:09:21,01/01/2016 00:13:16,97.0,235.0,332,01/01/2016 00:19:41,E22,Greenwich,Home Station,2,Initial,Initial Mobilisation,0.0,0,51.4848917,-0.0339022,3.4087052537659024
7,000006-01012016,2016-01-01,2016,00:07:44,0,False Alarm,AFA,No,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,SE8,E09000023,LEWISHAM,Lewisham,E05013721,Evelyn,Evelyn,51.4570895,-0.0132894,London,Deptford,279.0,Deptford,332.0,Greenwich,4.0,4.0,4,60,298,1.0,2016,0,4620752,E361,Not Used,2016-01-01 00:07:44,01/01/2016 00:09:17,01/01/2016 00:13:44,93.0,267.0,360,01/01/2016 00:20:09,E38,New Cross,Other Station,3,Initial,Initial Mobilisation,0.0,0,51.4848917,-0.0339022,3.4087052537659024
8,000006-01012016,2016-01-01,2016,00:07:44,0,False Alarm,AFA,No,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,SE8,E09000023,LEWISHAM,Lewisham,E05013721,Evelyn,Evelyn,51.4570895,-0.0132894,London,Deptford,279.0,Deptford,332.0,Greenwich,4.0,4.0,4,60,298,1.0,2016,0,4620753,E351,Not Used,2016-01-01 00:07:44,01/01/2016 00:09:13,01/01/2016 00:14:42,89.0,329.0,418,01/01/2016 00:21:52,E35,Old Kent Road,Home Station,4,Initial,Initial Mobilisation,0.0,0,51.4848917,-0.0339022,3.4087052537659024
9,000009-01012016,2016-01-01,2016,00:10:18,0,Fire,Secondary Fire,No,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,E3,E09000030,TOWER HAMLETS,Tower Hamlets,E05009319,Bow East,Bow East,51.53635605,-0.021982172,London,Homerton,342.0,Homerton,0.0,No,1.0,1.0,1,60,298,1.0,2016,0,4620754,F282,1,2016-01-01 00:10:18,01/01/2016 00:12:25,01/01/2016 00:16:00,127.0,215.0,342,01/01/2016 00:22:16,F28,Homerton,Home Station,1,Initial,Initial Mobilisation,0.0,0,51.548538,-0.0439097,2.037436953557809
